2AGPEAT160	2agpe160|amp|atp|h|hdca|pe160|ppi
ATPS1	adp|atp|h|h2o|pi
ATPS4r	adp|atp|h|h2o|pi
BACCL	atp|btamp|btn|h|ppi
BALAt2r	ala_B|h
BCOA	ac|accoa|but|butcoa
BDH	acac|bhb|h|nad|nadh
BETALDHx	betald|glyb|h|h2o|nad|nadh
BMNMSHS	bmn|bmnmsh|h|msh
BMNt	bmn
BPNT	amp|h|h2o|pap|pi
BTS2	ala_L|amet|btn|cys_L|dad_2|dtbt|met_L
BTS3r	btn|dtbt|h2s|s
BUTCOAH	butcoa|crotcoa|h|nad|nadh
BUTtr	but
CAATPS	adp|atp|ca2|h|h2o|pi
CAT	h2o|h2o2|o2
CAt4	ca2|h
CBIAT	adocbi|atp|cbi|pppi
CBLAT	adocbl|atp|cbl1|pppi
CBPS	adp|atp|cbp|gln_L|glu_L|h|h2o|hco3|pi
CDAPPA160	cdpdhdecg|cmp|h2o|pa160
CDAPPA160190	cdpc16c19g|cmp|h2o|pa160190
CDAPPA190	cdpc19c19g|cmp|h2o|pa190190
CDB1AMER	ACP|behenicACP|c21lignocerACP|co2|h|h2o|malACP|nadp|nadph
CDB1MMER1	ACP|arachACP|c19behenACP|co2|h|h2o|malACP|nadp|nadph
CDB2AMER	ACP|c21C38oylACP|c21c37C40oylACP|co2|h|h2o|malACP|nadp|nadph
CDB2KMER1	ACP|c19C40oylACP|c19c39C42oylACP|co2|h|h2o|malACP|nadp|nadph
CDB2KMER2	ACP|c19C42oylACP|c19c41C44oylACP|co2|h|h2o|malACP|nadp|nadph
CDB2MMER1	ACP|c19C38oylACP|c19c37C40oylACP|co2|h|h2o|malACP|nadp|nadph
CDPMEK	2p4c2me|4c2me|adp|atp
CDPPT160	cdpdhdecg|cmp|inost|ptd1ino160
CDPPT160190	cdpc16c19g|cmp|inost|ptd1ino160190
CHLabc	adp|atp|chol|h|h2o|pi
CHOLD	betald|chol|h|nad|nadh
CHORM	chor|pphn
CHORS	3psme|chor|h|pi
CHRPL	4hbz|chor|pyr
CIGAMS	amp|atp|cigam|cys_L|igam|ppi
CITLr	ac|cit|oaa
CITabc	adp|atp|cit|h|h2o|pi
CLPNS160190	clpn160190|glyc|pg160190
CMCBTFL	cmcbtt|fcmcbtt|fe3
CMCBTFU	cmcbtt|fcmcbtt|fe3
CMLDC	2c25dho|5odhf2a|co2|h
CO2t	co2
COAt	coa
COBALTt5	cobalt2
COBB	adp|atp|gln_L|glu_L|h|h2o|hgbam|hgbyr|pi
COCHL	adp|atp|co2dam|cobalt2|h|h2o|hgbam|pi
CODH2r	co|co2|fdox|fdred|h|h2o
CODH3	adfdOX|adfdRD|co|co2|h|h2o
COt	co
CPC2MT	ahcys|amet|copre2|copre3|h
CPC3MT	ahcys|amet|copre3|copre4|h
CPC4MT	ahcys|amet|copre4|copre5
CPC6MT	ahcys|amet|co2|codhpre6|copre8|h
CPC6R	codhpre6|copre6|h|nadp|nadph
CPC8MM	cobya|copre8
CPPPGO	co2|cpppg3|h|h2o|o2|pppg9
CRNabc	adp|atp|crn|h|h2o|pi
CS	accoa|cit|coa|h|h2o|oaa
CTPS1	adp|atp|ctp|h|nh4|pi|utp
CTPS2	adp|atp|ctp|gln_L|glu_L|h|h2o|pi|utp
CY1AMER1	ahcys|amero1ACP|amet|c21c37C52oylACP|h
CY1AMER3	ahcys|amero3ACP|amet|c21c37C52oylACP|h
CY1KMER1	ahcys|amet|ckmero1ACP|h|kmero3ACP
CY1MMER1	ahcys|amet|c37C58oylACP|cmmero1ACP|h
CY2KMER1	ahcys|amet|h|k19c39C59oylACP|tkmero1ACP
CY2MMER1	ahcys|amet|c37C60oylACP|h|tmmero1ACP
CYANSTTHSFST	cyan|so3|tcynt|tsul
CYO1a	ficytc|focytc|h|q|qh2
CYO1b	ficytc|focytc|h|h2o|o2
CYRDAAT	adcobdam|atp|co1dam|pppi
CYRDAR	co1dam|co2dam|h|nad|nadh
CYSS	ac|acser|cys_L|h|h2s
CYSTGL	2obut|cys_L|cyst_L|h2o|nh4
CYSTL	cyst_L|h2o|hcys_L|nh4|pyr
CYSTS	cyst_L|h2o|hcys_L|ser_L
CYTBD	h|h2o|o2|q8|q8h2
CYTBD2	h|h2o|mql8|mqn8|o2
CYTD	cytd|h|h2o|nh4|uri
CYTDK2	cmp|cytd|gdp|gtp
CYTDt2r	cytd|h
