 or NDC	co2|h|orn-L|ptrc
C130ISN	ACP|co2|fa13ACP|fa7ACP|h|h2o|malACP|nadp|nadph
C140ISN	ACP|co2|fa1ACP|fa8ACP|h|h2o|malACP|nadp|nadph
C140SN	ACP|actACP|co2|h|h2o|malACP|myrsACP|nadp|nadph
C150ISN	ACP|co2|fa3ACP|fa7ACP|h|h2o|malACP|nadp|nadph
C150SN	ACP|co2|fa14ACP|h|h2o|malACP|nadp|nadph|pdACP
C151SN	ACP|co2|coa|h|h2o|malACP|nadp|nadph|pdeACP|ppcoa
C160ISN	ACP|co2|fa6ACP|fa8ACP|h|h2o|malACP|nadp|nadph
C160SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|palmACP
C161SN	ACP|actACP|co2|h|h2o|hdeACP|malACP|nadp|nadph
C170ISN	ACP|co2|fa11ACP|fa7ACP|h|h2o|malACP|nadp|nadph
C170SN	ACP|co2|fa14ACP|h|h2o|hpdACP|malACP|nadp|nadph
C171SN	ACP|co2|coa|h|h2o|hpdeACP|malACP|nadp|nadph|ppcoa
C180SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|ocdACP
C181SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|octeACP
C50SN	co2|coa|fa14ACP|h|h2o|malACP|nadp|nadph|ppcoa
C60ISN	co2|coa|fa8ACP|h|h2o|ibcoa|malACP|nadp|nadph
C70ISN	co2|coa|fa7ACP|h|h2o|ivcoa|malACP|nadp|nadph
CAT	h2o|h2o2|o2
CAt4i	ca2|h
CBIAT	adcoba|atp|cbi|h2o|pi|ppi
CBL1abc	adp|atp|cbl1|h|h2o|pi
CBLAT	atp|cbl1|cobamcoa|h2o|pi|ppi
CBLTR3	cobalt2|cobalt3|h|mql7|mqn7
CBLTR4	cobalt2|cobalt3|h|mmql7|mmqn7
CBPS	adp|atp|cbp|gln-L|glu-L|h|h2o|hco3|pi
CDPMEK	2p4c2me|4c2me|adp|atp|h
CH or M	chor|pphn
CH or S	3psme|chor|pi
CHRPL	4hbz|chor|pyr
CKDOAS	akg|ckdo|ckdo8n|glu-L|h|nad|nadh
CLAT	accoa|cm|cmac|coa
CMLDC	2c25dho|5odhf2a|co2|h
CO2t	co2
COBALTt3	cobalt2|h
COBALTt5	cobalt2
COBPS	adgcoba|cobamcoa|gmp|h|rdmbzi
CONFALDD	confald|frlt|h|h2o|nad|nadh
CPPPGO	co2|cpppg3|h|h2o|o2|pppg9
CPPPGOAN	amet|co2|cpppg3|dad-5|fdxo-4:2|fdxr-4:2|h|met-L|nadp|nadph|pppg9
CRMR	Cr(OH)3|cro4|h|h2o|mql7|mqn7
CRMR2	Cr(OH)3|cro4|h|h2o|mmql7|mmqn7
CRMR3	Cr(OH)3|cro4|h|h2o|nad|nadh
CRO4t6	cro4|h
CS	accoa|cit|coa|h|h2o|oaa
CSND	csn|h|h2o|nh4|ura
CTPS2	adp|atp|ctp|gln-L|glu-L|h|h2o|pi|utp
CY or 7	ficytcc|focytcc|h|ubq8|ubq8h2
CYCPOe	ficytcc|focytcc|h|h2o|h2o2
CYOO2	ficytcc|focytcc|h|h2o|o2
CYSS	ac|acser|cys-L|h2s
CYSTL	cysth-L|h2o|hcys-L|nh4|pyr
CYSTRS	amp|atp|cys-L|cystrna|ppi|trnacys
CYSt2	cys-L|h
CYTBD	h|h2o|o2|ubq8|ubq8h2
CYTD	cytd|h|h2o|nh4|uri
CYTDK1	adp|atp|cmp|cytd|h
CYTDK2	cmp|cytd|gdp|gtp|h
CYTDK3	cmp|cytd|h|idp|itp
CYTDt2	cytd|h
CYTK1	adp|atp|cdp|cmp
CYTK2	adp|atp|dcdp|dcmp
Clt	cl
Cut1	adp|atp|cu2|h|h2o|pi
D-LACt2	h|lac-D
DADA	dad-2|din|h|h2o|nh4
DADK	adp|atp|dadp|damp
DADNt2	dad-2|h
DAGK	12dag3p|12dgr|adp|atp|h
DAHPS	2dda7p|e4p|h2o|pep|pi
DAPDC	26dap-M|co2|h|lys-L
DAPE	26dap-LL|26dap-M
DASYN	12dag3p|cdpdag|ctp|h|ppi
DB4PS	db4p|for|h|ru5p-D
DBTSr	adp|atp|co2|dann|dtbt|h|pi
DCTPD	dctp|dutp|h|h2o|nh4
DCYTD	dcyt|duri|h|h2o|nh4
DCYTt2	dcyt|h
DGK1	adp|atp|dgdp|dgmp
DGTPH	dgsn|dgtp|h2o|pppi
DH or D2	dhor-S|orot|ubq8|ubq8h2
DH or D4i	dhor-S|mql7|mqn7|orot
DH or D8	dhor-S|mmql7|mmqn7|orot
DH or TS	cbasp|dhor-S|h|h2o
DHAD1	23dhmb|3mob|h2o
DHAD2	23dhmp|3mop|h2o
DHDPRy	23dhdp|h|nadp|nadph|thdp
DHDPS	23dhdp|aspsa|h|h2o|pyr
DHFR	dhf|h|nadp|nadph|thf
DHFS	adp|atp|dhf|dhpt|glu-L|h|pi
DHNAOT7	2dmmq7|co2|dhna|hepdp|nad|nadh|ppi
DHNPA	2ahhmp|dhnpt|gcald
DHPPDA2	25dhpp|5apru|h|h2o|nh4
DHPRx	dhbpt|h|nad|nadh|thbpt
DHPS3	2ahhmd|4abz|dhpt|ppi
DHQD1	3dhq|3dhsk|h2o
DHQS	2dda7p|3dhq|pi
DIPEPabc10	adp|atp|gly-glu-L|h|h2o|pi
DIPEPabc13	adp|atp|gly-asp-L|h|h2o|pi
DKMPPD	2kmb|dkmpp|for|h|h2o|o2|pi
DKMPPD2	2kmb|dkmpp|for|h|h2o|pi
DMATT	dmpp|grdp|ipdp|ppi
DMOCT	ckdo|ctp|kdo|ppi
DMPPS	dmpp|h|h2mb4p|h2o|nad|nadh
DMQMT	2omhmbl|ahcys|amet|h|ubq8h2
DMS or 3e	dms|dmso|h2o|mql7|mqn7
DMS or 4e	dms|dmso|h2o|mmql7|mmqn7
DNASYN_Son	adp|atp|datp|dctp|dgtp|dna_Son|dttp|h|h2o|pi|ppi
DNMPPA	dhnpt|dhpmp|h2o|pi
DNTPPA	ahdt|dhpmp|h|h2o|ppi
DPCOAK	adp|atp|coa|dpcoa|h
DPR	2dhp|h|nadp|nadph|pant-R
DRBK	2dr5p|adp|atp|drib|h
DRPA	2dr5p|acald|g3p
DTMPK	adp|atp|dtdp|dtmp
DURIK1	adp|atp|dump|duri|h
DURIPP	2dr1p|duri|pi|ura
DURIt2	duri|h
DUTPDP	dump|dutp|h|h2o|ppi
DXPRI	2me4p|dxyl5p|h|nadp|nadph
DXPS	co2|dxyl5p|g3p|h|pyr
E4PD	4per|e4p|h|h2o|nad|nadh
EDA	2ddg6p|g3p|pyr
EDTXS5	ACP|ddcaACP|kdo8nlipid4|kdo8nlipid4L
EDTXS6	ACP|kdo8nlipa|kdo8nlipid4L|myrsACP
ENO	2pg|h2o|pep
EPPP2	gdpdp|gdptp|h|h2o|pi
ETOHt1	etoh
F or t	for
FAO5	accoa|amp|atp|coa|h|h2o|nad|nadh|ppi|ttdca|ubq8|ubq8h2
FAO6	accoa|amp|atp|coa|h|h2o|hdca|nad|nadh|ppi|ubq8|ubq8h2
FAO7	accoa|amp|atp|coa|h|h2o|nad|nadh|ocdca|ppi|ubq8|ubq8h2
FBA	dhap|fdp|g3p
FBP	f6p|fdp|h2o|pi
FCLT	fe2|h|pheme|ppp9
FDH10	co2|for|h|mmql7|mmqn7
FDH9	co2|for|h|mql7|mqn7
FE2abc	adp|atp|fe2|h|h2o|pi
FE3abc	adp|atp|fe3|h|h2o|pi
FER3	fe2|fe3|h|mql7|mqn7
FER4	fe2|fe3|h|mmql7|mmqn7
FGLU	forglu|frmd|glu-L|h2o
FHLe	co2|for|h|h2
FMETTRS	10fthf|fmettrna|mettrna|thf
FMNAT	atp|fad|fmn|h|ppi
FMNRx	fmn|fmnRD|h|nad|nadh
FN or 	fdxo-4:2|fdxr-4:2|h|nadp|nadph
FRD8	fum|mql7|mqn7|succ
FRD9	fum|mmql7|mmqn7|succ
FRMDt	frmd
FRTT	frdp|ggdp|ipdp|ppi
FTHFD	10fthf|for|h|h2o|thf
FTHFL	10fthf|adp|atp|for|pi|thf
FUM	fum|h2o|mal-L
FUMACA	4fumacac|acac|fum|h|h2o
FUMt2_2	fum|h
FUMt4	fum|h
G1PACT	accoa|acgam1p|coa|gam1p|h
G1PTMT	dtdpglc|dttp|g1p|h|ppi
G1SATi	5aop|glu1sa
G35DP	gdp|gdpdp|h2o|ppi
G3PD2	dhap|glyc3p|h|nadp|nadph
G3PD4	dhap|glyc3p|mql7|mqn7
G3PD8	dhap|glyc3p|mmql7|mmqn7
G5SADs	1pyr5c|glu5sa|h|h2o
G5SD	glu5p|glu5sa|h|nadp|nadph|pi
G6PDA	f6p|gam6p|h2o|nh4
G6PDHy	6pgl|g6p|h|nadp|nadph
GALKr	adp|atp|gal|gal1p|h
GALU	g1p|h|ppi|udpg|utp
GAPD	13dpg|g3p|h|nad|nadh|pi
GARFT	10fthf|fgam|gar|h|thf
GART	adp|atp|fgam|for|gar|h|pi
GBEZ	adp|atp|glc-D|glycogen|h|pi
