1.1.1.210-RXN.d	17-BETA-HYDROXY-5ALPHA-ANDROSTAN-3-O|ALPHA-ANDROSTAN-3BETA17BETA-DIOL|NADP|NADPH|PROTON
1.1.1.211-RXN.c	NAD|NADH|PROTON
1.1.1.212-RXN.c	B-KETOACYL-ACP|NAD|NADH|OH-ACYL-ACP|PROTON
1.1.1.215-RXN.c	CPD-377|GLUCONATE|NADP|NADPH|PROTON
1.1.1.217-RXN.c	BENZYL-2-METHYL-3-OXOBUTANOATE|BENZYL-2R3S-2-METHYL-3-HYDROXYBUTANOA|NADP|NADPH|PROTON
1.1.1.220-RXN.c	6-LACTOYL-5678-TETRAHYDROPTERIN|6-PYRUVOYL-5678-TETRAHYDROPTERIN|NADP|NADPH|PROTON
1.1.1.222-RXN.c	CPD-2222|NAD-P-OR-NOP|NADH-P-OR-NOP|P-HYDROXY-PHENYLPYRUVATE|PROTON
1.1.1.226-RXN.c	4-HYDROXYCYCLOHEXANECARBOXYLATE|4-OXOCYCLOHEXANECARBOXYLATE|NAD|NADH|PROTON
1.1.1.229-RXN.c	DIETHYL-2-METHYL-3-OXOSUCCINATE|DIETHYL-2R3R-2-METHYL-3-HYDROXYSUCCIN|NADP|NADPH|PROTON
1.1.1.230-RXN.c	3-ALPHA-HYDROXYGLYCYRRHETINATE|3-OXOGLYCYRRHETINATE|NADP|NADPH|PROTON
1.1.1.231-RXN.c	5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA|5Z13E-69-ALPHA-EPOXY-11-ALPHA-HYDROXPROS|NADP|NADPH|PROTON
1.1.1.232-RXN.c	15-OXO-5811-CIS-13-TRANS-ICOSATETRAENO|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.247-RXN.c	CODEINE|CODEINONE|NADP|NADPH|PROTON
1.1.1.248-RXN.c	NADP|NADPH|PROTON|SALUTARIDINE|SALUTARIDINOL
1.1.1.250-RXN.c	CPD-355|D-RIBULOSE|NAD|NADH|PROTON
1.1.1.251-RXN.c	GALACTITOL-1-PHOSPHATE|NAD|NADH|PROTON
1.1.1.252-RXN.c	CPD-56|NADP|NADPH|PROTON|TETRAHYD-CPD
1.1.1.253-RXN.c	CPD-10819|NADP|NADPH|PROTON|TETRA-H-BIOPTERIN
1.1.1.254-RXN.c	3-DE-H-CARNITINE|D-CARNITINE|NAD|NADH|PROTON
1.1.1.255-RXN.c	MANNITOL|NAD|NADH|PROTON
1.1.1.259-RXN.c	3-HYDROXYPIMELYL-COA|3-OXOPIMELOYL-COA|NAD|NADH|PROTON
1.1.1.260-RXN.c	CPD-7969|CPD-8169|NAD|NADH|PROTON
