3M2OBLOXRD	2mpdhl|3mob|co2|h|lpam
Spt3AdT	3AStrmyn|Sptmyn|atp|h|ppi
TAGO	acgam|h|h2o|pi|uacgam|ump
TALA	e4p|f6p|g3p|s7p
TECA1S	acgam|cdpglyc|cmp|gtca1|h|uacmam|udp
TECA2S	acgam|ala-D|amp|atp|cdpglyc|cmp|gtca2|h|ppi|uacmam|udp
TECA3S	acgam|cdpglyc|cmp|gtca3|h|uacmam|udp|udpg
TECA4S	h|h2o|tcam|udp|udpacgal|udpg|ump
TEST_NADTRHD	nad|nadh|nadp|nadph
TGBPA	dhap|g3p|tagdp-D
THDPS	coa|h2o|sl2a6o|succoa|thdp
THFGLUS	adp|atp|glu-L|h|pi|thf|thfglu
THMDt2	h|thymd
THMDt4	na1|thymd
THMabc	adp|atp|h|h2o|pi|thm
THRAr	acald|gly|thr-L
THRD_L	2obut|nh4|thr-L
THRS	h2o|phom|pi|thr-L
THRTRS	amp|atp|ppi|thr-L|thrtrna|trnathr
THRt2	h|thr-L
TKT1	g3p|r5p|s7p|xu5p-D
TKT2	e4p|f6p|g3p|xu5p-D
TMDK1	adp|atp|dtmp|h|thymd
TMDS	dhf|dtmp|dump|mlthf
TMPPP	2mahmp|4mpetz|h|ppi|thmmp
TPI	dhap|g3p
TRDR	h|nadp|nadph|trdox|trdrd
TRE6PH	g6p|glc-D|h2o|tre6p
TREpts	pep|pyr|tre|tre6p
TRPS1	3ig3p|g3p|h2o|ser-L|trp-L
TRPt2r	h|trp-L
TYRTA	34hpp|akg|glu-L|tyr-L
TYRt2r	h|tyr-L
UAAGDS	26dap-M|adp|atp|h|pi|uamag|ugmd
UAG2E	uacgam|uacmam
UAG2EMA	acmana|h|h2o|uacgam|udp
UAG4E	uacgam|udpacgal
UAGCVT	pep|pi|uaccg|uacgam
UAGDP	acgam1p|h|ppi|uacgam|utp
UAGPT3	h|uaagmda|uacgam|uagmda|udp
UAMAGS	adp|atp|glu-D|h|pi|uama|uamag
UAMAS	adp|ala-L|atp|h|pi|uama|uamr
UAPGR	h|nadp|nadph|uaccg|uamr
UDCPKr	adp|atp|h|udcp|udcpp
UDPDPS	decdp|ipdp|ppi|udcpdp
UDPG12dgrGT_SA2	12dgr_SA|3g12dgr_SA2|udp|udpg
UDPG3g12dgrGT_SA2	3g12dgr_SA2|dgdcg_SA2|udp|udpg
UDPG4E	udpg|udpgal
UGMDDS	adp|alaala|atp|h|pi|ugmd|ugmda
UMPK	adp|atp|udp|ump
UNK3	2kmb|akg|glu-L|met-L
UPP3MT	ahcys|amet|dscl|h|uppg3
UPP3S	h2o|hmbil|uppg3
UPPDC1	co2|cpppg3|h|uppg3
UPPDC2	co2|cpppg1|h|uppg1
UPPRTr	ppi|prpp|ump|ura
URAt2	h|ura
URCN	4izp|h2o|urcan
UREA	co2|h|h2o|nh4|urea
UREAt	urea
URFGTT	2ombz|2ommb|ahcys|amet|h
URIDK2r	adp|atp|dudp|dump
URIK1	adp|atp|h|ump|uri
URIK2	gdp|gtp|h|ump|uri
URIK3	h|idp|itp|ump|uri
URIt4	na1|uri
VALTA	3mob|akg|glu-L|val-L
VALabc	adp|atp|h|h2o|pi|val-L
VALt2r	h|val-L
XANt	xan
XANt2	h|xan
XPPT	ppi|prpp|xan|xmp
YUMPS	h2o|psd5p|r5p|ura
ZNabc	adp|atp|h|h2o|pi|zn2
