12PPDt	12ppd-S
BPNT	amp|h|h2o|pap|pi
BSORx	btn|btnso|h|h2o|nad|nadh
BSORy	btn|btnso|h|h2o|nadp|nadph
BTS2	ala-L|btn|cys-L|dtbt|h
BUTCT	ac|accoa|btcoa|but
BUTt2r	but|h
Biomass	5mthf|Biomass|accoa|adp|ala-L|amp|arg-L|asn-L|asp-L|atp|clpn_EC|coa|ctp|cys-L|datp|dctp|dgtp|dttp|fad|gln-L|glu-L|gly|glycogen|gtp|h|h2o|his-L|ile-L|leu-L|lps_EC|lys-L|met-L|nad|nadh|nadp|nadph|pe_EC|peptido_EC|pg_EC|phe-L|pi|ppi|pro-L|ps_EC|ptrc|ser-L|spmd|succoa|thr-L|trp-L|tyr-L|udpg|utp|val-L
C120SN	ACP|actACP|co2|ddcaACP|h|h2o|malACP|nadp|nadph
C140SN	ACP|actACP|co2|h|h2o|malACP|myrsACP|nadp|nadph
C141SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|tdeACP
C160SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|palmACP
C161SN	ACP|actACP|co2|h|h2o|hdeACP|malACP|nadp|nadph
C181SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|octeACP
CADVt	15dap|h|lys-L
CAT	h2o|h2o2|o2
CBIAT	adocbi|atp|cbi|h2o|pi|ppi
CBL1abc	adp|atp|cbl1|h|h2o|pi
CBLAT	adocbl|atp|cbl1|h2o|pi|ppi
CBMK	adp|atp|cbp|co2|h|nh4
CBPS	adp|atp|cbp|gln-L|glu-L|h|h2o|hco3|pi
CDAPPA_EC	cdpdag1|cmp|h2o|pa_EC
CDPMEK	2p4c2me|4c2me|adp|atp
CHLabc	adp|atp|chol|h|h2o|pi
CHLt2r	chol|h
CHORM	chor|pphn
CHORS	3psme|chor|h|pi
CHRPL	4hbz|chor|pyr
CINNDO	cenchddd|cinnm|h|nad|nadh|o2
CITL	ac|cit|oaa
CITt7	cit|succ
CLPNS_EC	clpn_EC|glyc|pg_EC
CMPN	cmp|csn|h2o|r5p
CO2t	co2
CPPPGO	co2|cpppg3|h|h2o|o2|pppg9
CRNBTCT	bbtcoa|crn|crncoa|gbbtn
CRNCBCT	crn|crncoa|ctbt|ctbtcoa
