+-BORNEOL-DEHYDROGENASE-RXN.c	CPD-1903|CPD-862|NAD|NADH|PROTON
GLYOXI-RXN.c	GLUTATHIONE|METHYL-GLYOXAL|S-LACTOYL-GLUTATHIONE
GLYOXI-RXN.d	GLUTATHIONE|METHYL-GLYOXAL|S-LACTOYL-GLUTATHIONE
GLYOXII-RXN.c	D-LACTATE|GLUTATHIONE|PROTON|S-LACTOYL-GLUTATHIONE|WATER
GLYOXII-RXN.d	D-LACTATE|GLUTATHIONE|PROTON|S-LACTOYL-GLUTATHIONE|WATER
GLYOXYLATE-REDUCTASE-NADP+-RXN.c	GLYCOLLATE|GLYOX|NADP|NADPH|PROTON
GLYRIBONUCSYN-RXN.c	5-P-BETA-D-RIBOSYL-AMINE|5-PHOSPHO-RIBOSYL-GLYCINEAMIDE|ADP|ATP|GLY|PROTON|Pi
GMKALT-RXN.c	ADP|ATP|DGDP|DGMP
GMP-SYN-GLUT-RXN.c	AMP|ATP|GLN|GLT|GMP|PPI|PROTON|WATER|XANTHOSINE-5-PHOSPHATE
GMP-SYN-NH3-RXN.c	AMMONIUM|AMP|ATP|GMP|PPI|PROTON|XANTHOSINE-5-PHOSPHATE
GPH-RXN.c	CPD-67|GLYCOLLATE|Pi|WATER
GPH-RXN.d	CPD-67|GLYCOLLATE|Pi|WATER
GPPSYN-RXN.c	CPD-4211|DELTA3-ISOPENTENYL-PP|GERANYL-PP|PPI
GPPSYN-RXN.d	CPD-4211|DELTA3-ISOPENTENYL-PP|GERANYL-PP|PPI
GSAAMINOTRANS-RXN.c	5-AMINO-LEVULINATE|GLUTAMATE-1-SEMIALDEHYDE
GSAAMINOTRANS-RXN.d	5-AMINO-LEVULINATE|GLUTAMATE-1-SEMIALDEHYDE
GSHTRAN-RXN.c	GLUTATHIONE|HX|RX|S-Substituted-Glutathione
GSHTRAN-RXN.d	GLUTATHIONE|HX|RX|S-Substituted-Glutathione
GST-RXN.c	CL-|GLUTATHIONE|PROTON
GST-RXN.d	CL-|GLUTATHIONE|PROTON
GTP-CYCLOHYDRO-I-RXN.c	DIHYDRONEOPTERIN-P3|FORMATE|GTP|PROTON|WATER
GTP-CYCLOHYDRO-II-RXN.c	DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR|FORMATE|GTP|PPI|PROTON|WATER
GTPPYPHOSKIN-RXN.c	AMP|ATP|GDP-TP|GTP
GUANIDINOBUTANAMIDE-NH3-RXN.c	AMMONIUM|WATER
GUANIDINOBUTYRASE-RXN.c	4-AMINO-BUTYRATE|UREA|WATER
GUANINE-DEAMINASE-RXN.c	AMMONIUM|GUANINE|PROTON|WATER|XANTHINE
GUANOSINE-DEAMINASE-RXN.c	AMMONIUM|GUANOSINE|PROTON|WATER|XANTHOSINE
GUANOSINE-DIPHOSPHATASE-RXN.c	GDP|GMP|PROTON|Pi|WATER
GUANOSINEKIN-RXN.c	ADP|ATP|GMP|GUANOSINE|PROTON
GUANPRIBOSYLTRAN-RXN.c	GMP|GUANINE|PPI|PRPP
GUANYL-KIN-RXN.c	ADP|ATP|GDP|GMP
GUANYLCYC-RXN.c	CGMP|GTP|PPI
H2NEOPTERINALDOL-RXN.c	AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE|DIHYDRO-NEO-PTERIN|GLYCOLALDEHYDE
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN.c	DIHYDRONEOPTERIN-P|DIHYDRONEOPTERIN-P3|PPI|PROTON|WATER
H2PTERIDINEPYROPHOSPHOKIN-RXN.c	AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE|AMP|ATP|DIHYDROPTERIN-CH2OH-PP|PROTON
H2PTEROATESYNTH-RXN.c	7-8-DIHYDROPTEROATE|DIHYDROPTERIN-CH2OH-PP|P-AMINO-BENZOATE|PPI
HEME-OXYGENASE-DECYCLIZING-RXN.c	Acceptor|BILIVERDINE|CARBON-MONOXIDE|Donor-H2|FE+2|OXYGEN-MOLECULE|PROTOHEME|PROTON|WATER
HEMEOSYN-RXN.c	FARNESYL-PP|HEME_O|PPI|PROTOHEME|WATER
HEMN-RXN.c	CARBON-DIOXIDE|CH33ADO|COPROPORPHYRINOGEN_III|MET|PROTOPORPHYRINOGEN|S-ADENOSYLMETHIONINE
HEXOKINASE-RXN.c	ADP|ATP|PROTON
HISTALDEHYD-RXN.c	HIS|HISTIDINAL|NAD|NADH|PROTON|WATER
HISTALDEHYD-RXN.d	HIS|HISTIDINAL|NAD|NADH|PROTON|WATER
HISTAMINOTRANS-RXN.c	2-KETOGLUTARATE|GLT|IMIDAZOLE-ACETOL-P|L-HISTIDINOL-P
HISTAMINOTRANS-RXN.d	2-KETOGLUTARATE|GLT|IMIDAZOLE-ACETOL-P|L-HISTIDINOL-P
HISTCYCLOHYD-RXN.c	PHOSPHORIBOSYL-AMP|PHOSPHORIBOSYL-FORMIMINO-AICAR-P|WATER
HISTCYCLOHYD-RXN.d	PHOSPHORIBOSYL-AMP|PHOSPHORIBOSYL-FORMIMINO-AICAR-P|WATER
HISTIDINE--TRNA-LIGASE-RXN.c	AMP|ATP|Charged-HIS-tRNAs|HIS|HIS-tRNAs|PPI|PROTON
HISTIDINE--TRNA-LIGASE-RXN.d	AMP|ATP|Charged-HIS-tRNAs|HIS|HIS-tRNAs|PPI|PROTON
HISTIDINE-DECARBOXYLASE-RXN.c	CARBON-DIOXIDE|HIS|PROTON
HISTIDPHOS-RXN.c	HISTIDINOL|L-HISTIDINOL-P|Pi|WATER
HISTIDPHOS-RXN.d	HISTIDINOL|L-HISTIDINOL-P|Pi|WATER
HISTOLDEHYD-RXN.c	HISTIDINAL|HISTIDINOL|NAD|NADH|PROTON
HISTOLDEHYD-RXN.d	HISTIDINAL|HISTIDINOL|NAD|NADH|PROTON
HISTONE-ACETYLTRANSFERASE-RXN.c	ACETYL-COA|CO-A
HISTONE-ACETYLTRANSFERASE-RXN.d	ACETYL-COA|CO-A
HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
HISTPRATPHYD-RXN.c	PHOSPHORIBOSYL-AMP|PHOSPHORIBOSYL-ATP|PPI|PROTON|WATER
HISTPRATPHYD-RXN.d	PHOSPHORIBOSYL-AMP|PHOSPHORIBOSYL-ATP|PPI|PROTON|WATER
HOLO-ACP-SYNTH-RXN.c	3-5-ADP|ACP|CO-A|apo-ACP
HOLOCYTOCHROME-C-SYNTHASE-RXN.c	PROTOHEME
HOMOCYSMET-RXN.c	CPD-1301|CPD-1302|HOMO-CYS|MET
HOMOCYSMETB12-RXN.c	5-METHYL-THF|HOMO-CYS|MET|THF
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN.c	ADENOSYL-HOMO-CYS|HOMO-CYS|MET|PROTON|S-ADENOSYLMETHIONINE
HOMOGENTISATE-12-DIOXYGENASE-RXN.c	4-MALEYL-ACETOACETATE|HOMOGENTISATE|OXYGEN-MOLECULE|PROTON
HOMOGLUTATHIONE-SYNTHASE-RXN.c	ADP|ATP|B-ALANINE|CPD-211|L-GAMMA-GLUTAMYLCYSTEINE|PROTON|Pi
HOMOSERDEHYDROG-RXN.c	HOMO-SER|L-ASPARTATE-SEMIALDEHYDE|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
HOMOSERINE-O-ACETYLTRANSFERASE-RXN.c	ACETYL-COA|CO-A|CPD-667|HOMO-SER
HOMOSERKIN-RXN.c	ADP|ATP|HOMO-SER|O-PHOSPHO-L-HOMOSERINE|PROTON
HOMOSERKIN-RXN.d	ADP|ATP|HOMO-SER|O-PHOSPHO-L-HOMOSERINE|PROTON
HYDROG-RXN.c	HYDROGEN-MOLECULE|Oxidized-ferredoxins|PROTON|Reduced-ferredoxins
HYDROG-RXN.d	HYDROGEN-MOLECULE|Oxidized-ferredoxins|PROTON|Reduced-ferredoxins
HYDROHEX-RXN.c	12-OXO-CIS-9-DODECENOATE|13-HYDROPEROXYOCTADECA-911-DIENOATE|HEXANAL
HYDROHEX-RXN.d	12-OXO-CIS-9-DODECENOATE|13-HYDROPEROXYOCTADECA-911-DIENOATE|HEXANAL
HYDROPEROXIDE-DEHYDRATASE-RXN.c	PROTON|WATER
HYDROPEROXIDE-DEHYDRATASE-RXN.d	PROTON|WATER
HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN.c	4-HYDROXYBENZALDEHYDE|4-hydroxybenzoate|NAD|NADH|PROTON|WATER
HYDROXYLAMINE-REDUCTASE-RXN.c	AMMONIUM|Acceptor|Donor-H2|HYDROXYLAMINE|PROTON|WATER
HYDROXYMANDELONITRILE-LYASE-RXN.c	4-HYDROXYBENZALDEHYDE|CPD-648|HCN
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN.c	3-HYDROXY-3-METHYL-GLUTARYL-COA|3-KETOBUTYRATE|ACETYL-COA
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN.m	3-HYDROXY-3-METHYL-GLUTARYL-COA|3-KETOBUTYRATE|ACETYL-COA
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN.c	3-HYDROXY-3-METHYL-GLUTARYL-COA|ACETOACETYL-COA|ACETYL-COA|CO-A|PROTON|WATER
HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN.c	NAD|NADH|P-HYDROXY-PHENYLPYRUVATE|PROTON
HYDROXYPRODEHYDROG-RXN.c	OXYGEN-MOLECULE|PROTON|WATER
HYDROXYPYRUVATE-REDUCTASE-RXN.c	GLYCERATE|NAD-P-OR-NOP|NADH-P-OR-NOP|OH-PYR|PROTON
HYOSCYAMINE-6-DIOXYGENASE-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-2202|L-HYOSCYAMINE|OXYGEN-MOLECULE|SUC
HYPOXANPRIBOSYLTRAN-RXN.c	HYPOXANTHINE|IMP|PPI|PRPP
ICOSANOYL-COA-SYNTHASE-RXN.c	CARBON-DIOXIDE|CO-A|CPD-9965|MALONYL-COA|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON|STEAROYL-COA|WATER
IGPSYN-RXN.c	CARBON-DIOXIDE|CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P|INDOLE-3-GLYCEROL-P|PROTON|WATER
IGPSYN-RXN.d	CARBON-DIOXIDE|CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P|INDOLE-3-GLYCEROL-P|PROTON|WATER
IMIDPHOSDEHYD-RXN.c	D-ERYTHRO-IMIDAZOLE-GLYCEROL-P|IMIDAZOLE-ACETOL-P|WATER
IMP-DEHYDROG-RXN.c	IMP|NAD|NADH|PROTON|WATER|XANTHOSINE-5-PHOSPHATE
IMP-DEHYDROG-RXN.d	IMP|NAD|NADH|PROTON|WATER|XANTHOSINE-5-PHOSPHATE
IMPCYCLOHYDROLASE-RXN.c	IMP|PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE|WATER
IMPCYCLOHYDROLASE-RXN.d	IMP|PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE|WATER
INDOLE-3-ACETALDEHYDE-OXIDASE-RXN.c	HYDROGEN-PEROXIDE|INDOLE_ACETALDEHYDE|INDOLE_ACETATE_AUXIN|OXYGEN-MOLECULE|PROTON|WATER
INOPHOSPHOR-RXN.c	HYPOXANTHINE|INOSINE|Pi|RIBOSE-1P
INORGPYROPHOSPHAT-RXN.c	PPI|PROTON|Pi|WATER
INOSINE-NUCLEOSIDASE-RXN.c	HYPOXANTHINE|INOSINE|WATER
INOSINE-NUCLEOSIDASE-RXN.e	HYPOXANTHINE|INOSINE|WATER
INOSINE-NUCLEOSIDASE-RXN.w	HYPOXANTHINE|INOSINE|WATER
INOSINEKIN-RXN.c	ADP|ATP|IMP|INOSINE|PROTON
IODIDE-PEROXIDASE-RXN.c	CPD-387|HYDROGEN-PEROXIDE|IODINE-MOLECULE|PROTON|WATER
IODIDE-PEROXIDASE-RXN.d	CPD-387|HYDROGEN-PEROXIDE|IODINE-MOLECULE|PROTON|WATER
IPPISOM-RXN.c	CPD-4211|DELTA3-ISOPENTENYL-PP
ISOCHORSYN-RXN.c	CHORISMATE|ISOCHORISMATE
ISOCIT-CLEAV-RXN.c	GLYOX|SUC|THREO-DS-ISO-CITRATE
ISOCITDEH-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|NADP|NADPH|THREO-DS-ISO-CITRATE
ISOCITRATE-DEHYDROGENASE-NAD+-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|NAD|NADH|THREO-DS-ISO-CITRATE
ISOCITRATE-DEHYDROGENASE-NAD+-RXN.m	2-KETOGLUTARATE|CARBON-DIOXIDE|NAD|NADH|THREO-DS-ISO-CITRATE
ISOFLAVONE-2-HYDROXYLASE-RXN.c	2-HYDROXYFORMONONETIN|FORMONONETIN|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
ISOFLAVONE-4-O-METHYLTRANSFERASE-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
ISOFLAVONE-7-O-GLUCOSYLTRANSFERASE-RXN.c	UDP|UDP-GLUCOSE
ISOLEUCINE--TRNA-LIGASE-RXN.c	AMP|ATP|Charged-ILE-tRNAs|ILE|ILE-tRNAs|PPI|PROTON
ISOPIPERITENOL-DEHYDROGENASE-RXN.c	CPD-1090|CPD-263|NAD|NADH|PROTON
ISOVALERYL-COA-FAD-RXN.c	3-METHYL-CROTONYL-COA|FAD|FADH2|ISOVALERYL-COA|PROTON
ISOVALERYL-COA-FAD-RXN.m	3-METHYL-CROTONYL-COA|FAD|FADH2|ISOVALERYL-COA|PROTON
ISOVALERYLCOA-DHLIPOAMIDE-RXN.c	BCAA-dehydrogenase-3MB-DH-lipoyl|BCAA-dehydrogenase-DH-lipoyl|CO-A|ISOVALERYL-COA
ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN.c	ISOVITEXIN|ISOVITEXIN-2-O-B-D-GLUCOSIDE|PROTON|UDP|UDP-GLUCOSE
ISPH2-RXN.c	DELTA3-ISOPENTENYL-PP|HYDROXY-METHYL-BUTENYL-DIP|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON|WATER
ISPH2-RXN.d	DELTA3-ISOPENTENYL-PP|HYDROXY-METHYL-BUTENYL-DIP|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON|WATER
KDO-8PPHOSPHAT-RXN.c	KDO|KDO-8P|Pi|WATER
KDO-8PSYNTH-RXN.c	ARABINOSE-5P|KDO-8P|PHOSPHO-ENOL-PYRUVATE|Pi|WATER
KDOTRANS-RXN.c	CMP|CMP-KDO|KDO-LIPID-IVA|LIPID-IV-A|PROTON
KDOTRANS2-RXN.c	CMP|CMP-KDO|KDO-LIPID-IVA|KDO2-LIPID-IVA|PROTON
KDPGALDOL-RXN.c	2-KETO-3-DEOXY-6-P-GLUCONATE|GAP|PYRUVATE
KETOACYLCOATHIOL-RXN.c	3-KETOACYL-COA|ACETYL-COA|CO-A|Saturated-Fatty-Acyl-CoA
KETOACYLCOATHIOL-RXN.m	3-KETOACYL-COA|ACETYL-COA|CO-A|Saturated-Fatty-Acyl-CoA
KETOACYLCOATHIOL-RXN.x	3-KETOACYL-COA|ACETYL-COA|CO-A|Saturated-Fatty-Acyl-CoA
KETOBUTFORMLY-RXN.c	2-OXOBUTANOATE|CO-A|FORMATE|PROPIONYL-COA
KETOBUTFORMLY-RXN.d	2-OXOBUTANOATE|CO-A|FORMATE|PROPIONYL-COA
KETOBUTFORMLY-RXN.m	2-OXOBUTANOATE|CO-A|FORMATE|PROPIONYL-COA
KETOISOCAPROATE-RXN.c	2K-4CH3-PENTANOATE|BCAA-dehydrogenase-3MB-DH-lipoyl|BCAA-dehydrogenase-lipoyl|CARBON-DIOXIDE|PROTON
KETOLACTOSE-RXN.c	GLC|WATER
KYNURENINE-3-MONOOXYGENASE-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
L-3-CYANOALANINE-SYNTHASE-RXN.c	CPD-603|CYS|HCN|HS|PROTON
L-AMINO-ACID-OXIDASE-RXN.c	2-Oxo-carboxylates|AMMONIUM|Amino-Acids-20|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|WATER
L-AMINO-ACID-OXIDASE-RXN.w	2-Oxo-carboxylates|AMMONIUM|Amino-Acids-20|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|WATER
L-ARABINOKINASE-RXN.c	ADP|ATP|CPD-1825|PROTON
L-ASCORBATE-PEROXIDASE-RXN.c	ASCORBATE|HYDROGEN-PEROXIDE|L-DEHYDRO-ASCORBATE|PROTON|WATER
L-ASPARTATE-OXID-RXN.c	HYDROGEN-PEROXIDE|IMINOASPARTATE|L-ASPARTATE|OXYGEN-MOLECULE|PROTON
L-GLN-FRUCT-6-P-AMINOTRANS-RXN.c	D-GLUCOSAMINE-6-P|FRUCTOSE-6P|GLN|GLT
L-GULONOLACTONE-OXIDASE-RXN.c	HYDROGEN-PEROXIDE|L-GULONO-1-4-LACTONE|OXYGEN-MOLECULE
L-IDITOL-2-DEHYDROGENASE-RXN.c	CPD-369|NAD|NADH|PROTON
L-IDONATE-2-DEHYDROGENASE-RXN.c	5-DEHYDROGLUCONATE|NADP|NADPH|PROTON
L-LACTATE-DEHYDROGENASE-RXN.c	L-LACTATE|NAD|NADH|PROTON|PYRUVATE
L-PIPECOLATE-OXIDASE-RXN.c	CPD-7682|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|PROTON
LACCASE-RXN.c	Benzenediols|Benzosemiquinones|OXYGEN-MOLECULE|WATER
LACTALDDEHYDROG-RXN.c	L-LACTATE|NAD|NADH|PROTON|WATER
LACTOSEPHOSPHO-RXN.c	LACTOSE
LANOSTEROL-SYNTHASE-RXN.c	EPOXYSQUALENE|LANOSTEROL
LEUCINE--TRNA-LIGASE-RXN.c	AMP|ATP|Charged-LEU-tRNAs|LEU|LEU-tRNAs|PPI|PROTON
LEUCPEL-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|LEUCOPELARGONIDIN-CMPD|OXYGEN-MOLECULE|PELARGONIDIN-CMPD|PROTON|SUC|WATER
LEUKOTRIENE-A4-HYDROLASE-RXN.c	WATER
LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
LEVANSUCRASE-RXN.c	GLC|Levan|SUCROSE
LICODIONE-2-O-METHYLTRANSFERASE-RXN.c	ADENOSYL-HOMO-CYS|CPD-4302|LICODIONE|PROTON|S-ADENOSYLMETHIONINE
LINAMARIN-SYNTHASE-RXN.c	2-HYDROXY-2-METHYLPROPANENITRILE|LINAMARIN|PROTON|UDP|UDP-GLUCOSE
LINOLENOYL-RXN.c	AMP|ATP|CO-A|LINOLENIC_ACID|LINOLENOYL-COA|PPI
LINOLEOYL-RXN.c	CO-A|CPD-18|LINOLEIC_ACID|PROTON|WATER
LIPIDADISACCHARIDESYNTH-RXN.c	BISOHMYR-GLC|BISOHMYR-GLUCOSAMINYL-1P|OH-MYRISTOYL|PROTON|UDP
LIPIDXSYNTHESIS-RXN.c	BISOHMYR-GLUCOSAMINYL-1P|OH-MYRISTOYL|PROTON|UMP|WATER
LIPOXYGENASE-RXN.c	13-HYDROPEROXYOCTADECA-911-DIENOATE|LINOLEIC_ACID|OXYGEN-MOLECULE
LIPOXYGENASE-RXN.d	13-HYDROPEROXYOCTADECA-911-DIENOATE|LINOLEIC_ACID|OXYGEN-MOLECULE
LOGANATE-O-METHYLTRANSFERASE-RXN.c	ADENOSYL-HOMO-CYS|LOGANATE|LOGANIN|S-ADENOSYLMETHIONINE
LONG-CHAIN-ACYL-COA-DEHYDROGENASE-RXN.c	ETF-Oxidized|ETF-Reduced|Long-Chain-234-Saturated-acyl-CoAs|Long-Chain-Trans-23-Dehydroacyl-CoA
LONG-CHAIN-ALCOHOL-OXIDASE-RXN.c	HYDROGEN-PEROXIDE|Long-Chain-Aldehydes|OXYGEN-MOLECULE
LONG-CHAIN-FATTY-ACYL-COA-REDUCTASE-RXN.c	CO-A|Long-Chain-Aldehydes|NADP|NADPH|PROTON
LTAA-RXN.c	ACETALD|GLY
LUMAZINESYN-RXN.c	AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE|DIHYDROXY-BUTANONE-P|DIMETHYL-D-RIBITYL-LUMAZINE|PROTON|Pi|WATER
LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN.c	5734-TETRAHYDROXYFLAVONE|LUTEOLIN-7-O-BETA-D-GLUCURONIDE|UDP|UDP-GLUCURONATE
LUTEOLIN-O-METHYLTRANSFERASE-RXN.c	5734-TETRAHYDROXYFLAVONE|574-TRIHYDROXY-3-METHOXYFLAVONE|ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
LYSDECARBOX-RXN.c	CADAVERINE|CARBON-DIOXIDE|LYS|PROTON
LYSINE--TRNA-LIGASE-RXN.c	AMP|ATP|Charged-LYS-tRNAs|LYS|LYS-tRNAs|PPI|PROTON
LYSINEARGININE-CARBOXYPEPTIDASE-RXN.c	Peptides|WATER
LYSOPHOSPHOLIPASE-RXN.c	2-Acylglycero-Phosphocholines|Carboxylates|PROTON|WATER
M7G5PPPN-PYROPHOSPHATASE-RXN.c	WATER
MAL-DEH-GLYOX-RXN.c	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
MAL-DEH-GLYOX-RXN.x	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
MALATE-DEH-RXN.c	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
MALATE-DEH-RXN.d	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
MALATE-DEH-RXN.m	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
MALATE-DEH-RXN.x	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
MALATE-DEHYDROGENASE-NADP+-RXN.c	MAL|NADP|NADPH|OXALACETIC_ACID|PROTON
MALDEXPHOSPHORYL-RXN.c	GLC-1-P|Pi
MALEYLACETOACETATE-ISOMERASE-RXN.c	4-FUMARYL-ACETOACETATE|4-MALEYL-ACETOACETATE
MALIC-NADP-RXN.c	CARBON-DIOXIDE|MAL|NADP|NADPH|PYRUVATE
MALIC-NADP-RXN.d	CARBON-DIOXIDE|MAL|NADP|NADPH|PYRUVATE
MALONYL-COA-ACP-TRANSACYL-RXN.c	ACP|CO-A|MALONYL-ACP|MALONYL-COA
MALONYL-COA-ACP-TRANSACYL-RXN.d	ACP|CO-A|MALONYL-ACP|MALONYL-COA
MALONYL-COA-DECARBOXYLASE-RXN.c	ACETYL-COA|CARBON-DIOXIDE|MALONYL-COA|PROTON
MALSYN-RXN.c	ACETYL-COA|CO-A|GLYOX|MAL|PROTON|WATER
MALTACETYLTRAN-RXN.c	ACETYL-COA|CO-A|MALTOSE
MALTODEG-RXN.c	GLC|MALTOSE
MALTODEXGLUCOSID-RXN.c	1-4-alpha-D-Glucan|ALPHA-GLUCOSE|WATER
MANDELONITRILE-LYASE-RXN.c	BENZALDEHYDE|CPD-12702|HCN
MANNITOL-1-PHOSPHATASE-RXN.c	MANNITOL|MANNITOL-1P|Pi|WATER
MANNKIN-RXN.c	ADP|ATP|MANNOSE-6P|PROTON
MANNOSE-6-PHOSPHATE-6-REDUCTASE-RXN.c	MANNITOL-1P|MANNOSE-6P|NADP|NADPH|PROTON
MANNPGUANYLTRANGDP-RXN.c	GDP|GDP-MANNOSE|MANNOSE-1P|PROTON|Pi
MANNPISOM-RXN.c	FRUCTOSE-6P|MANNOSE-6P
MBCOA-DHLIPOAMIDE-RXN.c	2-METHYL-BUTYRYL-COA|BCAA-dehydrogenase-2MB-DH-lipoyl|BCAA-dehydrogenase-DH-lipoyl|CO-A
MEPROPCOA-FAD-RXN.c	FAD|FADH2|ISOBUTYRYL-COA|METHACRYLYL-COA|PROTON
MEPROPCOA-FAD-RXN.m	FAD|FADH2|ISOBUTYRYL-COA|METHACRYLYL-COA|PROTON
MERCAPYSTRANS-RXN.c	3-MERCAPTO-PYRUVATE|HCN|HSCN|PROTON|PYRUVATE
METBALT-RXN.c	2-OXOBUTANOATE|AMMONIA|PROTON|SUC|WATER
METHCOCLTH-RXN.c	5-METHYL-THF|THF
METHENYLTHFCYCLOHYDRO-RXN.c	10-FORMYL-THF|5-10-METHENYL-THF|PROTON|WATER
METHIONINE--TRNA-LIGASE-RXN.c	AMP|ATP|Charged-MET-tRNAs|MET|MET-tRNAs|PPI|PROTON
METHIONINE--TRNA-LIGASE-RXN.d	AMP|ATP|Charged-MET-tRNAs|MET|MET-tRNAs|PPI|PROTON
METHIONINE--TRNA-LIGASE-RXN.m	AMP|ATP|Charged-MET-tRNAs|MET|MET-tRNAs|PPI|PROTON
METHIONINE-GAMMA-LYASE-RXN.c	2-OXOBUTANOATE|AMMONIUM|CPD-7671|MET|WATER
METHIONINE-S-METHYLTRANSFERASE-RXN.c	ADENOSYL-HOMO-CYS|CPD-397|MET|S-ADENOSYLMETHIONINE
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN.c	10-FORMYL-THF|THF
METHYLACETOACETYLCOATHIOL-RXN.c	2-METHYL-ACETO-ACETYL-COA|ACETYL-COA|CO-A|PROPIONYL-COA
METHYLACYLYLCOA-HYDROXY-RXN.c	CPD-12173|METHACRYLYL-COA|WATER
METHYLACYLYLCOA-HYDROXY-RXN.r	CPD-12173|METHACRYLYL-COA|WATER
METHYLCROTONYL-COA-CARBOXYLASE-RXN.c	3-METHYL-CROTONYL-COA|ADP|ATP|HCO3|PROTON|Pi|TRANS-3-METHYL-GLUTACONYL-COA
METHYLCROTONYL-COA-CARBOXYLASE-RXN.m	3-METHYL-CROTONYL-COA|ADP|ATP|HCO3|PROTON|Pi|TRANS-3-METHYL-GLUTACONYL-COA
METHYLENETHFDEHYDROG-NADP-RXN.c	5-10-METHENYL-THF|METHYLENE-THF|NADP|NADPH
METHYLGLUTACONYL-COA-HYDRATASE-RXN.c	3-HYDROXY-3-METHYL-GLUTARYL-COA|TRANS-3-METHYL-GLUTACONYL-COA|WATER
METHYLMALONYL-COA-DECARBOXYLASE-RXN.c	CARBON-DIOXIDE|PROPIONYL-COA|PROTON
METHYLMALONYL-COA-EPIM-RXN.c	METHYL-MALONYL-COA
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN.c	5-METHYLTHIOADENOSINE|ADENINE|CPD-560|WATER
METHYLVALERATE-RXN.c	2-KETO-3-METHYL-VALERATE|BCAA-dehydrogenase-2MB-DH-lipoyl|BCAA-dehydrogenase-lipoyl|CARBON-DIOXIDE
MEVALONATE-KINASE-RXN.c	ADP|ATP|CPD-499|MEVALONATE|PROTON
MMUM-RXN.c	CPD-397|HOMO-CYS|MET|PROTON
MONOPHENOL-MONOOXYGENASE-RXN.c	DOPAQUINONE|OXYGEN-MOLECULE|TYR|WATER
MORPHINE-6-DEHYDROGENASE-RXN.c	MORPHINE|MORPHINONE|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
MRNA-GUANINE-N7--METHYLTRANSFERASE-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
MRNA-GUANYLYLTRANSFERASE-RXN.c	GTP|PPI|PROTON
MYO-INOSITOL-1-KINASE-RXN.c	1-L-MYO-INOSITOL-1-P|ADP|ATP|MYO-INOSITOL|PROTON
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN.c	1-L-MYO-INOSITOL-1-P|D-glucose-6-phosphate
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN.c	1-L-MYO-INOSITOL-1-P|MYO-INOSITOL|Pi|WATER
