2PGK	23dpg|2pg|adp|atp|h
CDGGGSAT2	3hcdgggp|3hdgggps|cmp|h|ser-L
CDGGIPT	cdgggp|cmp|dggpi|h|inost
CDGGIPT2	3hcdgggp|3hdggpi|cmp|h|inost
CDPGH	23dpg|cdpg|h|h2o
CDPGS	23dpg|adp|atp|cdpg|h|pi
CF3Ha	amp|f390a|f420-2|h|h2o
CF3Hg	f390g|f420-2|gmp|h|h2o
CF3Sa	atp|f390a|f420-2|ppi
CF3Sg	f390g|f420-2|gtp|ppi
CH2ACH	h2acon-C|h2o|tih2cit
CH3ACH	h2o|h3acon-C|tih3cit
CH4St	ch4s
CH4t	ch4
CHACH	h2o|hacon-C|ihcit-T
CHORM	chor|pphn
CHORS	3psme|chor|pi
CMLDC	2c25dho|5odhf2a|co2|h
CO2t	co2
COBALTt5	cobalt2
COBS	7mht|adp|atp|cob|h
COCHL	adp|atp|co2dam|cobalt2|h|h2o|hgbam|pi
CODH2	co|co2|fdox|fdred|h|h2o
CODHr	accoa|co2|coa|fdox|fdred|h|h2o|h4spt|mh4spt
COMS	com|h2o|nh4|pyr|sec
COt	co
CPC2MT	ahcys|amet|copre2|copre3|h
CPC3MT	ahcys|amet|copre3|copre4
CPC4MT	ahcys|amet|copre4|copre5|h
CPC5MT	acald|ahcys|amet|copre5|copre6|h|h2o
CPC6MT	ahcys|amet|co2|codhpre6|copre8|h
CPC6R	codhpre6|copre6|h|nadp|nadph
CPC8MM	cobya|copre8
CS	accoa|cit|coa|h|h2o|oaa
CSND	csn|h|h2o|nh4|ura
CTPS1	adp|atp|ctp|h|nh4|pi|utp
CTPS2	adp|atp|ctp|gln-L|glu-L|h|h2o|pi|utp
CYRDAAT	adcobdam|atp|co1dam|h|pppi
CYRDAR	co1dam|co2dam|h|nad|nadh
CYRDAS	adp|atp|co2dam|cobya|gln-L|glu-L|h|h2o|ppi
CYSDS	cys-L|h2o|h2s|nh4|pyr
CYSSr	ac|acser|cys-L|h|h2s
CYSTRS	amp|atp|cys-L|cystrna|ppi|trnacys
CYSt2r	cys-L|h
CYTK1	adp|atp|cdp|cmp
CYTK2	adp|atp|dcdp|dcmp
Clt	cl
Coabc	adp|atp|cobalt2|h|h2o|pi
Cuabc	adp|atp|cu2|h|h2o|pi
Cut1	adp|atp|cu2|h|h2o|pi
DADK	adp|atp|dadp|damp
DAPDC	26dap-M|co2|h|lys-L
DAPDH	26dap-M|h|nadp|nadph|nh4|thdp
DB4PS	db4p|for|h|ru5p-D
DBTSr	adp|atp|co2|dann|dtbt|h|pi
DCMPDA	dcmp|dump|h|h2o|nh4
DCTPD	dctp|dutp|h|h2o|nh4
DGGGPS	dgggp|ggdp|gggp|ppi
DGGGPS2	3hdgggp|3hggdp|gggp|ppi
DGGPGP	dggpg|dggpgp|h2o|pi
DGGPGP2	3hdggpg|3hdggpgp|h2o|pi
DHAD1	23dhmb|3mob|h2o
