2PGK	23dpg|2pg|adp|atp|h
THRPD	applp|co2|h|thrp
THRPS	adp|atp|h|thr-L|thrp
THRS	h2o|phom|pi|thr-L
THRTRS	amp|atp|ppi|thr-L|thrtrna|trnathr
THZPSN	4hba|4mpetz|ala-L|amp|atp|co2|cys-L|dxyl5p|h|h2o|ppi|tyr-L
TIH2CD	co2|nad|nadh|ohepa|tih2cit
TIH3CD	2ood|co2|nad|nadh|tih3cit
TIHCD	co2|ihcit-T|nad|nadh|ohexa
TKT1	g3p|r5p|s7p|xu5p-D
TKT2	e4p|f6p|g3p|xu5p-D
TMAMT	com|dma|mcom|tma
TMAt2	h|tma
TMDK1	adp|atp|dtmp|h|thymd
TMDPP	2dr1p|pi|thym|thymd
TMDS	dhf|dtmp|dump|mlthf
TMKr	adp|atp|h|thm|thmmp
TMPKr	adp|atp|thmmp|thmpp
TMPPP	2mahmp|4mpetz|h|ppi|thmmp
TPI	dhap|g3p
TRDR	h|nadp|nadph|trdox|trdrd
TRPS1	3ig3p|g3p|h2o|ser-L|trp-L
TRPS2	h2o|indole|ser-L|trp-L
TRPS3	3ig3p|g3p|indole
TRPTA	akg|glu-L|indpyr|trp-L
TRPTRS	amp|atp|ppi|trnatrp|trp-L|trptrna
TSR	h2|h2s|so3|tsul
TSULabc	adp|atp|h|h2o|pi|tsul
TYRTA	34hpp|akg|glu-L|tyr-L
TYRTRS	amp|atp|ppi|trnatyr|tyr-L|tyrtrna
UAG2E	uacgam|uacmam
UAG2EMA	acmana|h|h2o|uacgam|udp
UAGCVT	pep|pi|uaccg|uacgam
UAGDP	acgam1p|h|ppi|uacgam|utp
UAPGR	h|nadp|nadph|uaccg|uamr
UDPG4E	udpg|udpgal
UDPGDr	h|h2o|nad|nadh|udpg|udpglcur
UMPK	adp|atp|udp|ump
UNK_CBL1DEGt	unknown_cbl1deg
UNK_RBFDEGt	unknown_rbfdeg
UPP3MT	ahcys|amet|dscl|h|uppg3
UPP3S	h2o|hmbil|uppg3
UREAt	urea
URIDK1	adp|atp|udp|ump
URIDK2r	adp|atp|dudp|dump
VALTA	3mob|akg|glu-L|val-L
VALTRS	amp|atp|ppi|trnaval|val-L|valtrna
VALt2r	h|val-L
VOR	3mob|co2|coa|fdox|fdred|h|ibcoa
XPPT	ppi|prpp|xan|xmp
YUMPS	h2o|psd5p|r5p|ura
ZNabc	adp|atp|h|h2o|pi|zn2
